,database,scenario,fuelOrTech,2017,2020,2023,2026,2029,2032,2035,2038,2041,2044,2047,2050
0,A.sqlite,solve,EC_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,EC_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,EC_COAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A.sqlite,solve,EC_DSL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A.sqlite,solve,EC_NG_CC,0.0,7.2777354,7.2777354,7.2777354,7.2777354,7.2777354,7.2777354,7.2777354,7.2777354,7.2777354,7.2777354,7.2777354
5,A.sqlite,solve,EC_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A.sqlite,solve,EC_OIL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A.sqlite,solve,EC_SOLPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,A.sqlite,solve,EC_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,A.sqlite,solve,ED_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5451784,3.0903569
10,A.sqlite,solve,ED_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,A.sqlite,solve,ED_NG_CC,0.0,0.0,0.36583173,2.5270839,9.3309225,26.044818,27.815193,29.59126,31.367327,33.143394,33.143394,33.143394
12,A.sqlite,solve,ED_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,A.sqlite,solve,ED_SOLPV,0.0,7.2024438,10.393005,14.044923,14.053638,17.013234,19.621872,21.899436,28.333406,31.923769,36.112828,41.83072
14,A.sqlite,solve,ED_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,A.sqlite,solve,EX_COAL,3.372,3.372,1.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,A.sqlite,solve,EX_DSL_CC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
17,A.sqlite,solve,EX_DSL_SIMP,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
18,A.sqlite,solve,EX_HYDRO,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439
19,A.sqlite,solve,EX_MSW_LF,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
20,A.sqlite,solve,EX_NG_CC,13.134,13.134,13.134,13.134,13.134,13.134,0.97,0.97,0.97,0.97,0.97,0.97
21,A.sqlite,solve,EX_NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
22,A.sqlite,solve,EX_OIL_TYPE1,1.661,1.661,1.661,1.661,1.661,1.661,1.661,1.661,1.661,1.661,1.661,1.661
23,A.sqlite,solve,EX_OIL_TYPE2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
24,A.sqlite,solve,EX_OIL_TYPE3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
25,A.sqlite,solve,EX_SOLPV,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.17933333,0.0,0.0
